OrderedDict([('precision@5', 0.0378), ('precision@10', 0.0296), ('recall@5', 0.0278), ('recall@10', 0.0436), ('ndcg@5', 0.0454), ('ndcg@10', 0.0466)])
OrderedDict([('precision@5', 0.0358), ('precision@10', 0.0273), ('recall@5', 0.0259), ('recall@10', 0.039), ('ndcg@5', 0.0432), ('ndcg@10', 0.0436)])
OrderedDict([('precision@5', 0.0364), ('precision@10', 0.0283), ('recall@5', 0.0276), ('recall@10', 0.0416), ('ndcg@5', 0.0449), ('ndcg@10', 0.0458)])
OrderedDict([('precision@5', 0.0368), ('precision@10', 0.028), ('recall@5', 0.0277), ('recall@10', 0.0406), ('ndcg@5', 0.0457), ('ndcg@10', 0.0461)])
OrderedDict([('precision@5', 0.0364), ('precision@10', 0.0289), ('recall@5', 0.0275), ('recall@10', 0.0418), ('ndcg@5', 0.0446), ('ndcg@10', 0.046)])
OrderedDict([('precision@5', 0.0362), ('precision@10', 0.0286), ('recall@5', 0.0267), ('recall@10', 0.0414), ('ndcg@5', 0.0447), ('ndcg@10', 0.0461)])
OrderedDict([('precision@5', 0.0357), ('precision@10', 0.0279), ('recall@5', 0.0262), ('recall@10', 0.0386), ('ndcg@5', 0.0436), ('ndcg@10', 0.0443)])
OrderedDict([('precision@5', 0.0351), ('precision@10', 0.0287), ('recall@5', 0.0275), ('recall@10', 0.0426), ('ndcg@5', 0.044), ('ndcg@10', 0.0463)])
OrderedDict([('precision@5', 0.0353), ('precision@10', 0.0284), ('recall@5', 0.026), ('recall@10', 0.041), ('ndcg@5', 0.0427), ('ndcg@10', 0.0443)])
OrderedDict([('precision@5', 0.0356), ('precision@10', 0.0282), ('recall@5', 0.0264), ('recall@10', 0.04), ('ndcg@5', 0.0436), ('ndcg@10', 0.0448)])
