OrderedDict([('precision@5', 0.0105), ('precision@10', 0.0117), ('recall@5', 0.0048), ('recall@10', 0.0108), ('ndcg@5', 0.0096), ('ndcg@10', 0.0122)])
OrderedDict([('precision@5', 0.0107), ('precision@10', 0.0119), ('recall@5', 0.0044), ('recall@10', 0.0104), ('ndcg@5', 0.0105), ('ndcg@10', 0.0126)])
OrderedDict([('precision@5', 0.0093), ('precision@10', 0.0109), ('recall@5', 0.0038), ('recall@10', 0.0096), ('ndcg@5', 0.0089), ('ndcg@10', 0.0112)])
OrderedDict([('precision@5', 0.0103), ('precision@10', 0.0109), ('recall@5', 0.0038), ('recall@10', 0.0087), ('ndcg@5', 0.0095), ('ndcg@10', 0.0111)])
OrderedDict([('precision@5', 0.0112), ('precision@10', 0.0117), ('recall@5', 0.0049), ('recall@10', 0.0108), ('ndcg@5', 0.0105), ('ndcg@10', 0.0124)])
OrderedDict([('precision@5', 0.0089), ('precision@10', 0.0101), ('recall@5', 0.0033), ('recall@10', 0.008), ('ndcg@5', 0.0082), ('ndcg@10', 0.0101)])
OrderedDict([('precision@5', 0.0108), ('precision@10', 0.0119), ('recall@5', 0.0049), ('recall@10', 0.0113), ('ndcg@5', 0.01), ('ndcg@10', 0.0125)])
OrderedDict([('precision@5', 0.0097), ('precision@10', 0.0112), ('recall@5', 0.0039), ('recall@10', 0.0099), ('ndcg@5', 0.0088), ('ndcg@10', 0.0114)])
OrderedDict([('precision@5', 0.0099), ('precision@10', 0.0103), ('recall@5', 0.0041), ('recall@10', 0.0091), ('ndcg@5', 0.0092), ('ndcg@10', 0.0108)])
OrderedDict([('precision@5', 0.0114), ('precision@10', 0.0121), ('recall@5', 0.0046), ('recall@10', 0.0114), ('ndcg@5', 0.0107), ('ndcg@10', 0.013)])
