OrderedDict([('precision@5', 0.0125), ('precision@10', 0.0131), ('recall@5', 0.0076), ('recall@10', 0.0171), ('ndcg@5', 0.0125), ('ndcg@10', 0.016)])
OrderedDict([('precision@5', 0.0103), ('precision@10', 0.0121), ('recall@5', 0.0061), ('recall@10', 0.0156), ('ndcg@5', 0.0096), ('ndcg@10', 0.0137)])
OrderedDict([('precision@5', 0.0134), ('precision@10', 0.0132), ('recall@5', 0.0084), ('recall@10', 0.0168), ('ndcg@5', 0.0133), ('ndcg@10', 0.0161)])
OrderedDict([('precision@5', 0.0108), ('precision@10', 0.0118), ('recall@5', 0.0056), ('recall@10', 0.0136), ('ndcg@5', 0.0101), ('ndcg@10', 0.0132)])
OrderedDict([('precision@5', 0.0139), ('precision@10', 0.0134), ('recall@5', 0.0093), ('recall@10', 0.0183), ('ndcg@5', 0.014), ('ndcg@10', 0.017)])
OrderedDict([('precision@5', 0.0107), ('precision@10', 0.012), ('recall@5', 0.0059), ('recall@10', 0.0144), ('ndcg@5', 0.0101), ('ndcg@10', 0.0136)])
OrderedDict([('precision@5', 0.0112), ('precision@10', 0.0119), ('recall@5', 0.0075), ('recall@10', 0.0157), ('ndcg@5', 0.0113), ('ndcg@10', 0.0146)])
OrderedDict([('precision@5', 0.0138), ('precision@10', 0.0136), ('recall@5', 0.0094), ('recall@10', 0.0189), ('ndcg@5', 0.0136), ('ndcg@10', 0.0171)])
OrderedDict([('precision@5', 0.013), ('precision@10', 0.0139), ('recall@5', 0.0082), ('recall@10', 0.0183), ('ndcg@5', 0.0129), ('ndcg@10', 0.0169)])
OrderedDict([('precision@5', 0.0106), ('precision@10', 0.0115), ('recall@5', 0.0064), ('recall@10', 0.0154), ('ndcg@5', 0.0103), ('ndcg@10', 0.0138)])
