OrderedDict([('precision@5', 0.1115), ('precision@10', 0.0876), ('recall@5', 0.103), ('recall@10', 0.1575), ('ndcg@5', 0.1391), ('ndcg@10', 0.1529)])
OrderedDict([('precision@5', 0.1091), ('precision@10', 0.0869), ('recall@5', 0.1013), ('recall@10', 0.1565), ('ndcg@5', 0.1347), ('ndcg@10', 0.1492)])
OrderedDict([('precision@5', 0.1147), ('precision@10', 0.0882), ('recall@5', 0.1064), ('recall@10', 0.1601), ('ndcg@5', 0.1413), ('ndcg@10', 0.1542)])
OrderedDict([('precision@5', 0.1105), ('precision@10', 0.0864), ('recall@5', 0.1057), ('recall@10', 0.1573), ('ndcg@5', 0.1386), ('ndcg@10', 0.1525)])
OrderedDict([('precision@5', 0.1131), ('precision@10', 0.0883), ('recall@5', 0.1055), ('recall@10', 0.1621), ('ndcg@5', 0.1426), ('ndcg@10', 0.1568)])
OrderedDict([('precision@5', 0.1078), ('precision@10', 0.0846), ('recall@5', 0.1014), ('recall@10', 0.1539), ('ndcg@5', 0.1337), ('ndcg@10', 0.1475)])
OrderedDict([('precision@5', 0.1159), ('precision@10', 0.0894), ('recall@5', 0.1114), ('recall@10', 0.1648), ('ndcg@5', 0.1461), ('ndcg@10', 0.1598)])
OrderedDict([('precision@5', 0.1097), ('precision@10', 0.0853), ('recall@5', 0.1044), ('recall@10', 0.155), ('ndcg@5', 0.1377), ('ndcg@10', 0.1506)])
OrderedDict([('precision@5', 0.1138), ('precision@10', 0.0876), ('recall@5', 0.1081), ('recall@10', 0.1595), ('ndcg@5', 0.1403), ('ndcg@10', 0.1539)])
OrderedDict([('precision@5', 0.1073), ('precision@10', 0.0852), ('recall@5', 0.1022), ('recall@10', 0.1553), ('ndcg@5', 0.1334), ('ndcg@10', 0.1484)])
