OrderedDict([('precision@5', 0.1114), ('precision@10', 0.0847), ('recall@5', 0.1112), ('recall@10', 0.1641), ('ndcg@5', 0.1414), ('ndcg@10', 0.156)])
OrderedDict([('precision@5', 0.1068), ('precision@10', 0.0843), ('recall@5', 0.1074), ('recall@10', 0.1668), ('ndcg@5', 0.1367), ('ndcg@10', 0.1554)])
OrderedDict([('precision@5', 0.1125), ('precision@10', 0.0871), ('recall@5', 0.1098), ('recall@10', 0.1649), ('ndcg@5', 0.1434), ('ndcg@10', 0.1585)])
OrderedDict([('precision@5', 0.108), ('precision@10', 0.0846), ('recall@5', 0.1085), ('recall@10', 0.1658), ('ndcg@5', 0.1411), ('ndcg@10', 0.1579)])
OrderedDict([('precision@5', 0.1031), ('precision@10', 0.0828), ('recall@5', 0.1028), ('recall@10', 0.1605), ('ndcg@5', 0.1301), ('ndcg@10', 0.1479)])
OrderedDict([('precision@5', 0.1057), ('precision@10', 0.0808), ('recall@5', 0.107), ('recall@10', 0.1553), ('ndcg@5', 0.1342), ('ndcg@10', 0.1477)])
OrderedDict([('precision@5', 0.1113), ('precision@10', 0.0868), ('recall@5', 0.1113), ('recall@10', 0.1689), ('ndcg@5', 0.1409), ('ndcg@10', 0.158)])
OrderedDict([('precision@5', 0.1103), ('precision@10', 0.0849), ('recall@5', 0.1097), ('recall@10', 0.165), ('ndcg@5', 0.1424), ('ndcg@10', 0.1575)])
OrderedDict([('precision@5', 0.108), ('precision@10', 0.0855), ('recall@5', 0.1076), ('recall@10', 0.1656), ('ndcg@5', 0.1377), ('ndcg@10', 0.1548)])
OrderedDict([('precision@5', 0.1109), ('precision@10', 0.087), ('recall@5', 0.1084), ('recall@10', 0.1641), ('ndcg@5', 0.1405), ('ndcg@10', 0.1556)])
