OrderedDict([('precision@5', 0.1117), ('precision@10', 0.0875), ('recall@5', 0.1013), ('recall@10', 0.1561), ('ndcg@5', 0.1394), ('ndcg@10', 0.1524)])
OrderedDict([('precision@5', 0.1147), ('precision@10', 0.087), ('recall@5', 0.106), ('recall@10', 0.1566), ('ndcg@5', 0.1396), ('ndcg@10', 0.1513)])
OrderedDict([('precision@5', 0.1119), ('precision@10', 0.0867), ('recall@5', 0.1037), ('recall@10', 0.1549), ('ndcg@5', 0.1389), ('ndcg@10', 0.1517)])
OrderedDict([('precision@5', 0.1071), ('precision@10', 0.0851), ('recall@5', 0.0975), ('recall@10', 0.1542), ('ndcg@5', 0.1311), ('ndcg@10', 0.1463)])
OrderedDict([('precision@5', 0.1044), ('precision@10', 0.0835), ('recall@5', 0.0954), ('recall@10', 0.1494), ('ndcg@5', 0.1286), ('ndcg@10', 0.143)])
OrderedDict([('precision@5', 0.1094), ('precision@10', 0.086), ('recall@5', 0.1026), ('recall@10', 0.1537), ('ndcg@5', 0.136), ('ndcg@10', 0.1493)])
OrderedDict([('precision@5', 0.1098), ('precision@10', 0.0865), ('recall@5', 0.1045), ('recall@10', 0.1595), ('ndcg@5', 0.1378), ('ndcg@10', 0.1533)])
OrderedDict([('precision@5', 0.1103), ('precision@10', 0.0858), ('recall@5', 0.1037), ('recall@10', 0.1567), ('ndcg@5', 0.1366), ('ndcg@10', 0.1501)])
OrderedDict([('precision@5', 0.1117), ('precision@10', 0.0871), ('recall@5', 0.105), ('recall@10', 0.1601), ('ndcg@5', 0.137), ('ndcg@10', 0.1522)])
OrderedDict([('precision@5', 0.1102), ('precision@10', 0.0865), ('recall@5', 0.1022), ('recall@10', 0.155), ('ndcg@5', 0.138), ('ndcg@10', 0.1516)])
