OrderedDict([('precision@5', 0.1081), ('precision@10', 0.0846), ('recall@5', 0.1068), ('recall@10', 0.166), ('ndcg@5', 0.1377), ('ndcg@10', 0.1549)])
OrderedDict([('precision@5', 0.1065), ('precision@10', 0.0835), ('recall@5', 0.1064), ('recall@10', 0.1623), ('ndcg@5', 0.1369), ('ndcg@10', 0.153)])
OrderedDict([('precision@5', 0.1132), ('precision@10', 0.0881), ('recall@5', 0.1101), ('recall@10', 0.1691), ('ndcg@5', 0.1421), ('ndcg@10', 0.1585)])
OrderedDict([('precision@5', 0.1116), ('precision@10', 0.0882), ('recall@5', 0.1117), ('recall@10', 0.1702), ('ndcg@5', 0.1433), ('ndcg@10', 0.1613)])
OrderedDict([('precision@5', 0.1081), ('precision@10', 0.0851), ('recall@5', 0.1078), ('recall@10', 0.1662), ('ndcg@5', 0.1415), ('ndcg@10', 0.1584)])
OrderedDict([('precision@5', 0.1125), ('precision@10', 0.0851), ('recall@5', 0.1124), ('recall@10', 0.1637), ('ndcg@5', 0.1432), ('ndcg@10', 0.1566)])
OrderedDict([('precision@5', 0.1066), ('precision@10', 0.0843), ('recall@5', 0.105), ('recall@10', 0.1628), ('ndcg@5', 0.1353), ('ndcg@10', 0.1526)])
OrderedDict([('precision@5', 0.1096), ('precision@10', 0.0856), ('recall@5', 0.108), ('recall@10', 0.1635), ('ndcg@5', 0.1385), ('ndcg@10', 0.1546)])
OrderedDict([('precision@5', 0.1089), ('precision@10', 0.0834), ('recall@5', 0.1102), ('recall@10', 0.1622), ('ndcg@5', 0.1383), ('ndcg@10', 0.1538)])
OrderedDict([('precision@5', 0.1103), ('precision@10', 0.0862), ('recall@5', 0.1089), ('recall@10', 0.1665), ('ndcg@5', 0.1401), ('ndcg@10', 0.1575)])
